Upscale Garden Apartment in Beautiful Neighborhood.(pet ok),http://sfbay.craigslist.org//scz/apa/5216069150.html,$1950,
"BEAUTIFUL GARDEN APARTMENT, NEAR STANFORD & SHOPPING",http://sfbay.craigslist.org//pen/apa/5218000743.html,$2300,
Piedmont Rental - Rare & Beautiful Garden Apartment Available Oct 1st,http://sfbay.craigslist.org//eby/apa/5201279790.html,$3050,
Peaceful 1 bedroom garden apartment atop Potrero Hill,http://sfbay.craigslist.org//sfc/apa/5209789132.html,$3600,
Duboce Tri - Garden Apartment | 1 bed | 1 bath | Furnished | $4.2K | ReLISTO,http://sfbay.craigslist.org//sfc/apa/5215672796.html,$4195,
1bd. 1ba. garden setting apartment in Aptos,http://sfbay.craigslist.org//scz/apa/5214353075.html,$1395,
"Garden Apartment! 2 BR/2BA, Cats Welcome, Pool",http://sfbay.craigslist.org//sby/apa/5221239440.html,$2395,
ROOF GARDEN APARTMENT,http://sfbay.craigslist.org//nby/apa/5221158318.html,$1850,
Furnished beautifully 1 bdr. garden apartment,http://sfbay.craigslist.org//sfc/apa/5217881810.html,$2295,
Charming Garden Apartment,http://sfbay.craigslist.org//sfc/apa/5188753747.html,$2950,
2 bedroom garden apartment -,http://sfbay.craigslist.org//sfc/apa/5210194366.html,$2950,
Garden Apartment in Foothills,http://sfbay.craigslist.org//sby/apa/5217707946.html,$3250,
A Sunny Noe Valley Top Floor 1bd 1 bth Apartment with a Garden View,http://sfbay.craigslist.org//sfc/apa/5217708355.html,$3300,
Furnished nicely 1 bedr. apartment with garden,http://sfbay.craigslist.org//sfc/apa/5216285558.html,$2395,
"Quiet garden Apartment, Large Balcony",http://sfbay.craigslist.org//sby/apa/5222893517.html,$2890,
SPACIOUS ONE BEDROOM APARTMENT IN TRANQUIL GARDEN SETTING,http://sfbay.craigslist.org//sby/apa/5221775850.html,$2275,
"Quiet garden Apartment, Yard Google Facebook",http://sfbay.craigslist.org//sby/apa/5221237135.html,$1895,
SPACIOUS ONE BEDROOM APARTMENT IN TRANQUIL GARDEN SETTING,http://sfbay.craigslist.org//sby/apa/5219943182.html,$2275,
Garden Apartment Home! 3 Bedroom Available September 23rd!,http://sfbay.craigslist.org//pen/apa/5223374161.html,$4060,
SPACIOUS ONE BEDROOM APARTMENT IN TRANQUIL GARDEN SETTING,http://sfbay.craigslist.org//sby/apa/5215566426.html,$2275,
"MIDCENTURY MODERN GARDEN APARTMENT WITH BAY VIEWS, ADJACENT TO SHASTA",http://sfbay.craigslist.org//eby/apa/5222266989.html,$1800,
